"Quadro 1.6 >> Produção vinícola declarada, expressa em mosto, por Regiões vitivinícolas",,,,,,,,,,,,,,,,,,
Portugal,,,,,Unidade: hl,,,,2023,,,,,,,,,
Qualidade e cor   Regiões vitivinícolas,Total,,,Vinho licoroso com DOP,,,Vinho com DOP,,,Vinho com IGP (a),,,Vinho com indicação de casta (a),,,Vinho sem certificação (a),,
,Total,Tinto,Branco,Total,Tinto,Branco,Total,Tinto,Branco,Total,Tinto,Branco,Total,Tinto,Branco,Total,Tinto,Branco
,,e rosado,,,e rosado,,,e rosado,,,e rosado,,,e rosado,,,e rosado,
Regiões vitivinícolas,,,,,,,,,,,,,,,,,,
Portugal,7 372 569,4 877 703,2 494 866,654 798,497 020,157 778,3 304 541,1 898 523,1 406 018,2 755 335,1 994 928,760 407,25 741,10 541,15 200,632 154,476 691,155 463
Continente,7 331 304,4 841 519,2 489 786,624 656,467 013,157 643,3 299 004,1 897 343,1 401 661,2 754 099,1 993 901,760 198,25 738,10 541,15 197,627 808,472 721,155 087
Verdes,924 480,124 831,799 649,0,0,0,879 226,116 437,762 788,29 141,4 927,24 214,1 107,229,878,15 007,3 238,11 769
Trás-os-Montes,100 793,89 113,11 679,18,18,0,17 396,13 488,3 908,5 474,3 653,1 821,30,18,12,77 875,71 936,5 939
Douro,1 402 222,1 046 641,355 582,606 403,465 114,141 290,723 875,526 481,197 394,4 881,2 376,2 504,189,147,42,66 874,52 522,14 352
Bairrada,251 004,162 672,88 332,39,39,0,157 766,84 458,73 308,32 543,28 640,3 903,5 343,4 156,1 187,55 313,45 379,9 934
Dão,281 195,224 261,56 934,0,0,0,253 379,201 076,52 303,5 125,4 442,683,454,222,232,22 236,18 520,3 716
Beira Interior,185 796,142 562,43 234,26,26,0,91 294,68 298,22 996,36 156,29 570,6 586,0,0,0,58 320,44 668,13 652
Távora-Varosa,52 440,22 347,30 093,0,0,0,31 134,11 493,19 641,1 334,318,1 016,0,0,0,19 972,10 536,9 436
Tejo,759 079,375 641,383 438,697,63,633,132 132,90 627,41 505,509 059,225 791,283 268,2 349,10,2 339,114 843,59 150,55 693
Lisboa,1 538 940,1 254 763,284 177,575,112,463,67 346,48 227,19 119,1 320 485,1 086 356,234 129,13 779,4 454,9 325,136 755,115 614,21 141
Península Setúbal,585 679,426 483,159 196,16 700,1 558,15 142,249 842,194 562,55 280,272 402,191 908,80 494,777,10,767,45 958,38 445,7 513
Alentejo,1 233 063,961 210,271 853,199,83,115,694 408,541 296,153 112,522 778,406 090,116 689,1 286,1 274,11,14 392,12 467,1 926
Algarve,16 613,10 994,5 619,0,0,0,1 205,898,307,14 721,9 829,4 891,424,20,404,264,247,17
Açores,7 975,4 240,3 735,135,0,135,3 147,0,3 147,1 236,1 027,209,4,0,4,3 453,3 212,241
Madeira,33 290,31 945,1 345,30 007,30 007,0,2 390,1 180,1 210,0,0,0,0,0,0,893,758,135
,,,,,,,,,,,,,,,,,,
Fonte: Instituto da Vinha e do Vinho,,,,,,,,,,,,,,,,,,
(a) Inclui os vinhos licorosos.,,,,,,,,,,,,,,,,,,
